bms_name,turf_short_win,turf_short_place,turf_mile_win,turf_mile_place,turf_mid_win,turf_mid_place,turf_long_win,turf_long_place,dirt_short_win,dirt_short_place,dirt_mile_win,dirt_mile_place,dirt_mid_win,dirt_mid_place,dirt_long_win,dirt_long_place
A. P. Jet,0.0692,0.2061,0.0,0.25,0.08,0.2373,0.079,0.2346,0.0,0.3636,0.1875,0.5,0.081,0.2426,0.084,0.252
A.P. Indy,0.0577,0.1731,0.0639,0.1767,0.0237,0.1361,0.0,0.1,0.0847,0.2373,0.103,0.3059,0.061,0.1463,0.084,0.252
Acatenango,0.0692,0.2061,0.149,0.3413,0.0844,0.3052,0.1538,0.3846,0.1,0.5,0.084,0.2521,0.081,0.2426,0.084,0.252
Acclamation,0.12,0.2,0.0769,0.1923,0.0714,0.3571,0.079,0.2346,0.0,0.0714,0.0645,0.2258,0.081,0.2426,0.084,0.252
Action This Day,0.0692,0.2061,0.1154,0.2308,0.0,0.1818,0.079,0.2346,0.0455,0.0909,0.0233,0.1395,0.081,0.2426,0.084,0.252
Ad Valorem,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0588,0.2941,0.081,0.2426,0.084,0.252
Adcat,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.1,0.3,0.0868,0.2601,0.081,0.2426,0.084,0.252
Adios Charlie,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.2727,0.6364,0.0868,0.2601,0.081,0.2426,0.084,0.252
Admire Moon,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0556,0.3333,0.081,0.2426,0.084,0.252
Affirmed,0.0692,0.2061,0.0,0.0833,0.0,0.0769,0.079,0.2346,0.0702,0.1579,0.0259,0.1638,0.081,0.2426,0.084,0.252
Afleet,0.0692,0.2061,0.0625,0.125,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.1795,0.359,0.081,0.2426,0.084,0.252
Afleet Alex,0.0769,0.1538,0.0426,0.2766,0.075,0.175,0.079,0.2346,0.1562,0.3906,0.0971,0.2913,0.1,0.2,0.084,0.252
After Market,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.1579,0.4211,0.081,0.2426,0.084,0.252
Afternoon Deelites,0.125,0.3125,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.1231,0.4,0.1009,0.3578,0.081,0.2426,0.084,0.252
Agnes Gold,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
