jockey_id,jockey_name
00102,秋元　松雄
00103,東　信二
00104,油木　宣夫
00105,新井　仁
00106,安藤　正敏
00108,飯田　明弘
00109,池江　泰郎
00110,池上　昌弘
00113,井高　淳一
00114,市丸　繁
00115,伊藤　栄
00116,伊藤　正徳
00117,稲部　和久
00119,今岡　正
00120,今村　倭夫
00121,岩崎　善四郎
00123,上野　清章
00126,内田　国夫
00128,梅田　守
00130,梅内　忍
00133,大江原　哲
00134,大久保　哲男
00135,大久保　光康
00136,大崎　昭一
00140,岡部　幸雄
00142,押田　年郎
00143,小野　幸治
00145,加賀　武見
00149,鎌田　祐一
00151,川畑　義雄
00152,川端　義雄
00153,菅野　昭夫
00154,北橋　修二
00155,楠　孝志
00156,久保　一秋
00157,久保　敏文
00159,郷原　洋行
00163,小迫　次男
00164,小島　貞博
00166,小島　太
00168,小林　常泰
00169,小柳　由春
00171,坂井　千明
00172,境　直行
00173,坂本　恒三
00174,崎山　博樹
00175,作田　誠二
00176,佐々木　昭次
00177,笹倉　武久
00179,佐藤　正雄
00181,佐山　優
00182,沢　峰次
00183,四位　満教
00184,鹿戸　明
00186,柴崎　勇
00187,柴田　政人
00188,柴田　政見
00189,嶋田　功
00190,嶋田　潤
00191,清水　出美
00192,清水　英次
00193,清水　利章
00196,清水　美波
00197,白石　一典
00198,白坂　宗治
00199,新川　恵
00200,須貝　四郎
00202,菅原　泰夫
00203,鈴木　庸一
00204,関口　健太郎
00207,高崎　詠三郎
00208,高橋　成忠
00209,高橋　隆
00210,高橋　司
00213,高山　裕
00214,田口　光雄
00215,田子　冬樹
00216,武　邦彦
00217,武　永祥
00218,武田　悟
00221,田島　日出雄
00222,田島　良保
00223,田所　秀孝
00225,谷原　義明
00227,田之上　幸男
00228,玉田　一彦
00229,田村　正光
00230,千田　能照
00231,津田　昭
00232,坪井　正美
00233,津曲　忠美
00235,出口　明見
00237,徳吉　一己
00238,富田　正信
00241,中島　茂
00242,中島　敏文
00243,中島　啓之
00244,長嶋　新八朗
00245,中西　武信
00246,中野　栄治
00247,吉田　勝也
00248,中野渡　清一
00249,那須　孝一
00252,成島　正規
00254,西浦　勝一
00255,西谷　達男
00256,西野　桂
00257,西橋　豊治
00258,松田　幸春
00259,野川　秋良
00260,野平　祐二
00262,野村　彰彦
00263,野元　昭
00264,畠山　重則
00266,平井　雄二
00268,日高　三代喜
00271,広松　孝司
00272,福島　信晴
00274,福永　洋一
00277,藤原　博文
00278,二ツ森　馨
00281,星野　忍
00282,星野　信幸
00284,牧野　三雄
00285,増沢　末夫
00286,増田　久
00289,松田　博資
00293,松本　善登
00294,松若　勲
00296,丸山　雅夫
00297,三浦　春美
00298,南井　克巳
00299,蓑田　早人
00301,宮田　仁
00302,目黒　正徳
00303,目野　哲也
00305,森安　重勝
00306,安田　伊佐夫
00307,安田　富男
00308,簗田　善則
00309,矢野　一博
00310,矢野　照正
00311,山下　一男
00312,山田　則弘
00313,山田　廣士
00314,山田　要一
00317,湯窪　幸雄
00318,横田　吉光
00319,横山　富雄
00320,吉岡　八郎
00322,吉永　正人
00323,吉永　良人
00324,領家　政蔵
00326,渡辺　修一
00328,赤羽　秀男
00329,石塚　信広
00330,小川　行雄
00331,加藤　晴己
00332,鎌田　光也
00333,柴田　利秋
00334,太宰　義人
00335,平松　修
00337,安田　隆行
00338,山田　展裕
00339,吉沢　宗一
00340,五十嵐　忠男
00341,榮森　己喜男
00342,岡山　定夫
00343,菅野　澄男
00345,佐藤　等
00346,鹿野　則夫
00347,外枦保　重秋
00348,竹原　啓二
00349,田島　信行
00350,寺井　千万基
00351,夏村　洋一
00352,西橋　昇
00353,橋口　満朗
00354,畑中　久光
00355,藤原　哲朗
00356,堀井　雅広
00358,渡部　秀一
00359,秋山　忠一
00360,飯島　和美
00361,池添　兼雄
00362,石神　富士雄
00363,伊藤　稔
00364,稲葉　的海
00365,岩元　市三
00366,蛯名　信広
00367,河内　洋
00368,木原　一良
00369,久保田　雅秀
00370,栗原　洋一
00371,桑島　孝明
00372,小西　一男
00373,坂口　正則
00374,佐々木　晶三
00375,田所　清広
00376,柴田　弘之
00377,鈴木　勇
00379,出口　隆義
00380,寺田　雅之
00381,豊田　将志
00382,西園　正都
00383,平井　三雄
00384,町屋　幸二
00385,山内　研二
00392,加藤　和宏
00393,木藤　隆行
00394,古西　勝廣
00395,小谷内　秀夫
00396,斉藤　博美
00397,佐藤　照雄
00398,柴田　光陽
00399,須崎　昇
