sire_name,turf_short_win,turf_short_place,turf_mile_win,turf_mile_place,turf_mid_win,turf_mid_place,turf_long_win,turf_long_place,dirt_short_win,dirt_short_place,dirt_mile_win,dirt_mile_place,dirt_mid_win,dirt_mid_place,dirt_long_win,dirt_long_place
A. P. Warrior,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
A.P. Indy,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Accelerate,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Acclamation,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Adios Charlie,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.3125,0.375,0.0588,0.1765,0.081,0.2426,0.084,0.252
Adlerflug,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Admire Don,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.05,0.2,0.081,0.2426,0.084,0.252
Admire Moon,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Afleet Alex,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.16,0.44,0.081,0.2426,0.084,0.252
After Market,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0,0.3636,0.0868,0.2601,0.081,0.2426,0.084,0.252
Air Force Blue,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.1316,0.3947,0.081,0.2426,0.084,0.252
Al Kazeem,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Al Wukair,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Aldebaran,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Algorithms,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Almanzor,0.0692,0.2061,0.0,0.1,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Always Dreaming,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0909,0.5455,0.081,0.2426,0.084,0.252
American Freedom,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
American Pharoah,0.1935,0.4839,0.1111,0.2222,0.0,0.05,0.079,0.2346,0.1966,0.3504,0.174,0.3568,0.1346,0.2692,0.084,0.252
Animal Kingdom,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.3125,0.625,0.1081,0.1892,0.081,0.2426,0.084,0.252
Any Given Saturday,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0417,0.3056,0.081,0.2426,0.084,0.252
Arakan,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Arcano,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0868,0.2601,0.081,0.2426,0.084,0.252
Arch,0.0692,0.2061,0.0737,0.2203,0.08,0.2373,0.079,0.2346,0.0824,0.247,0.0,0.2778,0.081,0.2426,0.084,0.252
