trainer_id,trainer_name
00000,田中和一
00142,尾形　藤吉
00136,大久保　房松
00291,藤本　冨良
00225,武田　文吾
00114,伊藤　修司
00206,鈴木　勝太郎
00323,保田　隆芳
00144,小川　佐助
00298,本郷　重彦
00234,田中　良平
00315,宮本　悳
00167,黒坂　洋基
00246,土門　健司
00212,瀬戸口　勉
00223,武田　作十郎
00236,谷　八郎
00237,田之上　勲
00221,武　宏平
00120,戌亥　信義
00203,須貝　彦三
00205,杉村　一馬
00309,松元　正雄
00334,吉永　猛
00258,長浜　彦三郎
00262,中村　広
00155,鴨田　次男
00239,田村　駿仁
00102,秋山　史郎
00279,服部　正利
00274,野平　祐二
00192,柴田　欣也
00328,山崎　彰義
00172,小西　登
00113,石毛　善衛
00273,野平　富久
00364,矢野　照正
00185,佐藤　勇
00119,稲葉　隆一
00326,矢野　幸夫
00101,相川　勝敏
00263,中村　貢
00121,今津　福松
00176,斎藤　籌敬
00290,藤本　晋
00218,高橋　英夫
00207,鈴木　清
00353,和田　正道
00153,加藤　修甫
00183,佐々木　猛
00299,前田　禎
00141,大和田　稔
00160,清田　十一
00104,浅見　国一
00147,小野　留嘉
00191,鹿戸　幸治
00143,尾形　盛次
00332,吉田　三郎
00149,梶　与四松
00189,佐藤　嘉秋
00252,中尾　銑治
00313,見上　恒芳
00177,斉藤　義美
00238,玉谷　敬治
00320,森安　弘昭
00228,田中　和夫
00250,内藤　繁春
00107,荒木　静雄
00118,稲葉　幸夫
00184,佐々木　亜良
00319,森　末之助
00321,八木沢　勝美
00325,矢野　進
00188,佐藤　征助
00139,大久保　良雄
00146,奥平　真治
00317,元石　孝昭
00318,元石　正雄
00151,勝又　忠
00288,福永　甲
00294,古山　良司
00109,飯塚　好次
00271,二本柳　俊夫
00164,久保田　敏夫
00178,境　勝太郎
00165,久保田　彦之
00208,鈴木　康弘
00324,柳田　次男
00198,清水　利章
00295,星川　薫
00269,二分　久男
00226,田所　秀雄
00342,土門　一美
00303,松田　正弘
00329,山本　正司
00307,松永　善晴
